n_simbolos_processados,comprimento_medio_progressivo
79900,3.035578
80000,3.036038
80100,3.036955
80200,3.037787
80300,3.037660
80400,3.037806
80500,3.037974
80600,3.038427
80700,3.039153
80800,3.040086
80900,3.040549
81000,3.041264
81100,3.041735
81200,3.041677
81300,3.041921
81400,3.041916
81500,3.042472
81600,3.042334
81700,3.041908
81800,3.042373
81900,3.042443
82000,3.042333
82100,3.042211
82200,3.042654
82300,3.043608
82400,3.043968
82500,3.043804
82600,3.043694
82700,3.043165
82800,3.043985
82900,3.043981
83000,3.043585
83100,3.043018
83200,3.044824
83300,3.044768
83400,3.044692
83500,3.044753
83600,3.044946
83700,3.044775
83800,3.045251
83900,3.044179
84000,3.043782
84100,3.043122
84200,3.042828
84300,3.042667
84400,3.041947
84500,3.041428
84600,3.041313
84700,3.041501
84800,3.041273
84900,3.041490
85000,3.041580
85100,3.041074
85200,3.041197
85300,3.040629
85400,3.040165
85500,3.040092
85600,3.040033
85700,3.039596
85800,3.039434
85900,3.039427
86000,3.039041
86100,3.037881
86200,3.037222
86300,3.037246
86400,3.037022
86500,3.036263
86600,3.036176
86700,3.035829
86800,3.035094
86900,3.034852
87000,3.034293
87100,3.034381
87200,3.033900
87300,3.034889
87400,3.034713
87500,3.034365
87600,3.033410
87700,3.033934
87800,3.033634
87900,3.032729
88000,3.031854
88100,3.032096
88200,3.031218
88300,3.031008
88400,3.030753
88500,3.030386
88600,3.029978
88700,3.028793
88800,3.028026
88900,3.027670
89000,3.028220
89100,3.027884
89200,3.027494
89300,3.026918
89400,3.026864
89500,3.026650
89600,3.026142
89700,3.026452
89800,3.026370
89900,3.026675
90000,3.026380
90100,3.026539
90200,3.026258
90300,3.025676
90400,3.025810
90500,3.025626
90600,3.024980
90700,3.024679
90800,3.024036
90900,3.023928
91000,3.023044
91100,3.023170
91200,3.022615
91300,3.022471
91400,3.023002
91500,3.022764
91600,3.022405
91700,3.022371
91800,3.023194
91900,3.022948
92000,3.022150
92100,3.021021
92200,3.019677
92300,3.018651
92400,3.017316
92500,3.016687
92600,3.016200
92700,3.016192
92800,3.016274
92900,3.015753
93000,3.015384
93100,3.014856
93200,3.014626
93300,3.014500
93400,3.014219
93500,3.013678
93600,3.012879
93700,3.013252
93800,3.012657
93900,3.012036
94000,3.011121
94100,3.010423
94200,3.009559
94300,3.009287
94400,3.008749
94500,3.008450
94600,3.008219
94700,3.007815
94800,3.008219
94900,3.008003
95000,3.007413
95100,3.007030
95200,3.006592
95300,3.006478
95400,3.005803
95500,3.005252
95600,3.005020
95700,3.004260
95800,3.003658
95900,3.003458
96000,3.003107
96100,3.002925
96200,3.002620
96300,3.002983
96400,3.002618
96500,3.002660
96600,3.002308
96700,3.001995
96800,3.000798
96900,3.000344
97000,2.999599
97100,2.999236
97200,2.998363
97300,2.998159
97400,2.997847
97500,2.998033
97600,2.997997
97700,2.998053
97800,2.996965
97900,2.997868
98000,2.997575
98100,2.997432
98200,2.996985
98300,2.996323
98400,2.995287
98500,2.994302
98600,2.993883
98700,2.993454
98800,2.992553
98900,2.992017
99000,2.991470
99100,2.989932
99200,2.989847
99300,2.989031
99400,2.988229
99500,2.986926
99600,2.986252
99700,2.985754
99800,2.985202
99900,2.985083
100000,2.984578
100100,2.984296
100200,2.983507
100300,2.982655
100400,2.981925
100500,2.981329
100600,2.981657
100700,2.981459
100800,2.980923
100900,2.980899
101000,2.980047
101100,2.979879
101200,2.979874
101300,2.979607
101400,2.978826
101500,2.978433
101600,2.978119
101700,2.977355
101800,2.976644
101900,2.975861
102000,2.975047
102100,2.974189
102200,2.973801
102300,2.973787
102400,2.973315
102500,2.972206
102600,2.971449
102700,2.970939
102800,2.970345
102900,2.969727
103000,2.970041
103100,2.969464
103200,2.969134
103300,2.968523
103400,2.968221
103500,2.968767
103600,2.968165
103700,2.967505
103800,2.966890
103900,2.966727
104000,2.966242
104100,2.966158
104200,2.966065
104300,2.966120
104400,2.965800
104500,2.965373
104600,2.965132
104700,2.964834
104800,2.963884
104900,2.963638
105000,2.963585
105100,2.963292
105200,2.963351
105300,2.962767
105400,2.962579
105500,2.961666
105600,2.960976
105700,2.961089
105800,2.961180
105900,2.961312
106000,2.961192
106100,2.960922
106200,2.960787
106300,2.960177
106400,2.959778
106500,2.959548
106600,2.958876
106700,2.958288
106800,2.957683
106900,2.956696
107000,2.956365
107100,2.956008
107200,2.955770
107300,2.955416
107400,2.954719
107500,2.953902
107600,2.953299
107700,2.952990
107800,2.952392
107900,2.952381
108000,2.952688
108100,2.952145
108200,2.951965
108300,2.951401
108400,2.950777
108500,2.949989
108600,2.949842
108700,2.949544
108800,2.948836
108900,2.948645
109000,2.948559
109100,2.948358
109200,2.948013
109300,2.947854
109400,2.947621
109500,2.947366
109600,2.947289
109700,2.946826
109800,2.946441
109900,2.945956
110000,2.945733
110100,2.945227
110200,2.944753
110300,2.944475
110400,2.943930
110500,2.943362
110600,2.942540
110700,2.941986
110800,2.941462
110900,2.940670
111000,2.940013
111100,2.939090
111200,2.938594
111300,2.937843
111400,2.937074
111500,2.936380
111600,2.935887
111700,2.935045
111800,2.934254
111900,2.933836
112000,2.933492
112100,2.933584
112200,2.933163
112300,2.932655
112400,2.932416
112500,2.931726
112600,2.931002
112700,2.930248
112800,2.929702
112900,2.929167
113000,2.928981
113100,2.928580
113200,2.928116
113300,2.927895
113400,2.927109
113500,2.926830
113600,2.926783
113700,2.926769
113800,2.926650
113900,2.926567
114000,2.926330
114100,2.925856
114200,2.925024
114300,2.925031
114400,2.924674
114500,2.924249
114600,2.923429
114700,2.922692
114800,2.922359
114900,2.921654
115000,2.921422
115100,2.920903
115200,2.920150
115300,2.920060
115400,2.919232
115500,2.918631
115600,2.917810
115700,2.917277
115800,2.916937
115900,2.916513
116000,2.916079
116100,2.915621
116200,2.915518
116300,2.915204
116400,2.914436
116500,2.913943
116600,2.913455
116700,2.912559
116800,2.911852
116900,2.910979
117000,2.911050
117100,2.910122
117200,2.909491
117300,2.908991
117400,2.908443
117500,2.908629
117600,2.908588
117700,2.908238
117800,2.908223
117900,2.908278
118000,2.908100
118100,2.907501
118200,2.906984
118300,2.906245
118400,2.905795
118500,2.905169
118600,2.904683
118700,2.903982
118800,2.903921
118900,2.903255
119000,2.902331
119100,2.901871
119200,2.901122
119300,2.900784
119400,2.900743
119500,2.900471
119600,2.900119
119700,2.899905
119800,2.899469
119900,2.899457
120000,2.899168
120100,2.898865
120200,2.898417
120300,2.897799
120400,2.897432
120500,2.896455
120600,2.895905
120700,2.895480
120800,2.895465
120900,2.895211
121000,2.894974
121100,2.894259
121200,2.893953
121300,2.893633
121400,2.893180
121500,2.893307
121600,2.892529
121700,2.891803
121800,2.890898
121900,2.890921
122000,2.890601
122100,2.890239
122200,2.889503
122300,2.888945
122400,2.888313
122500,2.887726
122600,2.887150
122700,2.886619
122800,2.886660
122900,2.886035
123000,2.886516
123100,2.886080
123200,2.886483
123300,2.885994
123400,2.885863
123500,2.885659
123600,2.885356
123700,2.885085
123800,2.884717
123900,2.883933
124000,2.883235
124100,2.882701
124200,2.882180
124300,2.881929
124400,2.881419
124500,2.881323
124600,2.881078
124700,2.880354
124800,2.880168
124900,2.879775
125000,2.879306
125100,2.879167
125200,2.878802
125300,2.878958
125400,2.878562
125500,2.877896
125600,2.877368
125700,2.876894
125800,2.876305
125900,2.876272
126000,2.875646
126100,2.875305
126200,2.875280
126300,2.875168
126400,2.874461
126500,2.873949
126600,2.873922
126700,2.874009
126800,2.873636
126900,2.873367
127000,2.873137
127100,2.872666
127200,2.872132
127300,2.871758
127400,2.871896
127500,2.871982
127600,2.871643
127700,2.871146
127800,2.870790
127900,2.870271
128000,2.869973
128100,2.869299
128200,2.869068
128300,2.868947
128400,2.868814
128500,2.868230
128600,2.868013
128700,2.867609
128800,2.867076
128900,2.867188
129000,2.867232
129100,2.866740
129200,2.866276
129300,2.865907
129400,2.865618
129500,2.865386
129600,2.864684
129700,2.864435
129800,2.864125
129900,2.863583
130000,2.863028
130100,2.862672
130200,2.862180
130300,2.861893
130400,2.861293
130500,2.860828
130600,2.860221
130700,2.859910
130800,2.859436
130900,2.859381
131000,2.858891
131100,2.858264
131200,2.857521
131300,2.857064
131400,2.856574
131500,2.856187
131600,2.855619
131700,2.855163
131800,2.855005
131900,2.854837
132000,2.854569
132100,2.853959
132200,2.853607
132300,2.853165
132400,2.852632
132500,2.852151
132600,2.851326
132700,2.850787
132800,2.850537
132900,2.850152
133000,2.849625
133100,2.848893
133200,2.848397
133300,2.847569
133400,2.847711
133500,2.847500
133600,2.847215
133700,2.846462
133800,2.845966
133900,2.845613
134000,2.845431
134100,2.845202
134200,2.844765
134300,2.844419
134400,2.843880
134500,2.843562
134600,2.843014
134700,2.842748
134800,2.842369
134900,2.841907
135000,2.841519
135100,2.840693
135200,2.840078
135300,2.839809
135400,2.839176
135500,2.838865
135600,2.838525
135700,2.837806
135800,2.837306
135900,2.836724
136000,2.836324
136100,2.835918
136200,2.835510
136300,2.834899
136400,2.834607
136500,2.834760
136600,2.834909
136700,2.834625
136800,2.834238
136900,2.833539
137000,2.833245
137100,2.833183
137200,2.832810
137300,2.832533
137400,2.832223
137500,2.831590
137600,2.831218
137700,2.830967
137800,2.830318
137900,2.830088
138000,2.829756
138100,2.829463
138200,2.828987
138300,2.828592
138400,2.828524
138500,2.828230
138600,2.827994
138700,2.827834
138800,2.827650
138900,2.827497
139000,2.827891
139100,2.827257
139200,2.826729
139300,2.826418
139400,2.825962
139500,2.825839
139600,2.825417
139700,2.825288
139800,2.824855
139900,2.824359
140000,2.823886
140100,2.823352
140200,2.822914
140300,2.822258
140400,2.821635
140500,2.821260
140600,2.820985
140700,2.820592
140800,2.820310
140900,2.819804
141000,2.819220
141100,2.818797
141200,2.818257
141300,2.817493
141400,2.816921
141500,2.816432
141600,2.816070
141700,2.815653
141800,2.815192
141900,2.814717
142000,2.814051
142100,2.813183
142200,2.812857
142300,2.812464
142400,2.812186
142500,2.812345
142600,2.812039
142700,2.811578
142800,2.811575
142900,2.811380
143000,2.811093
143100,2.810733
143200,2.810203
143300,2.809694
143400,2.809654
143500,2.809330
143600,2.809318
143700,2.808525
143800,2.808383
143900,2.807992
144000,2.807508
144100,2.807653
144200,2.807126
144300,2.806889
144400,2.806612
144500,2.806277
144600,2.805853
144700,2.805579
144800,2.805109
144900,2.804150
145000,2.803603
145100,2.803257
145200,2.802569
145300,2.802240
145400,2.801768
145500,2.801695
145600,2.801270
145700,2.800817
145800,2.800443
145900,2.800131
146000,2.799768
146100,2.799350
146200,2.799060
146300,2.798536
146400,2.797842
146500,2.797731
146600,2.797130
146700,2.796707
146800,2.796214
146900,2.795726
147000,2.795100
147100,2.794591
147200,2.793845
147300,2.793078
147400,2.792549
147500,2.792128
147600,2.791704
147700,2.791398
147800,2.790737
147900,2.790398
148000,2.789865
148100,2.789455
148200,2.789224
148300,2.789167
148400,2.788811
148500,2.788578
148600,2.788181
148700,2.788095
148800,2.787793
148900,2.787172
149000,2.786630
149100,2.786141
149200,2.785708
149300,2.785366
149400,2.784766
149500,2.784358
149600,2.783971
149700,2.783798
149800,2.783371
149900,2.783153
150000,2.782470
150100,2.781859
150200,2.781484
150300,2.780978
150400,2.780494
150500,2.780135
150600,2.779602
150700,2.779145
150800,2.778503
150900,2.777839
151000,2.777494
151100,2.776725
151200,2.776177
151300,2.775896
151400,2.775379
151500,2.774737
151600,2.774403
151700,2.774179
151800,2.773983
151900,2.773539
152000,2.772928
152100,2.772476
152200,2.772103
152300,2.771849
152400,2.771529
152500,2.771160
152600,2.770723
152700,2.770347
152800,2.769702
152900,2.769177
153000,2.768614
153100,2.768140
153200,2.767838
153300,2.767638
153400,2.767481
153500,2.767057
153600,2.766650
153700,2.766279
153800,2.765824
153900,2.765470
154000,2.765213
154100,2.765396
154200,2.764959
154300,2.764675
154400,2.764293
154500,2.763899
154600,2.763638
154700,2.763134
154800,2.763163
154900,2.762676
155000,2.762401
155100,2.762196
155200,2.761593
155300,2.761298
155400,2.760987
155500,2.760599
155600,2.760209
155700,2.759878
155800,2.759696
155900,2.759239
156000,2.758844
156100,2.758827
156200,2.758620
156300,2.757942
156400,2.757612
156500,2.757115
156600,2.756700
156700,2.756472
156800,2.756030
156900,2.755877
157000,2.755522
157100,2.755098
157200,2.754589
157300,2.754132
157400,2.753599
157500,2.752936
157600,2.752832
157700,2.752443
157800,2.752027
157900,2.751420
158000,2.751030
158100,2.750641
158200,2.750203
158300,2.749849
158400,2.749762
158500,2.749374
158600,2.748870
158700,2.748586
158800,2.748250
158900,2.748117
159000,2.747817
159100,2.747699
159200,2.747513
159300,2.746925
159400,2.746470
159500,2.746055
159600,2.745480
159700,2.744963
159800,2.744809
159900,2.744408
160000,2.743997
160100,2.743410
160200,2.742755
160300,2.742287
160400,2.741757
160500,2.741521
160600,2.741178
160700,2.741081
160800,2.741084
160900,2.740756
161000,2.740453
161100,2.740734
161200,2.740496
161300,2.740190
161400,2.739777
161500,2.739393
161600,2.738909
161700,2.738481
161800,2.738101
161900,2.737920
162000,2.737456
162100,2.737229
162200,2.737113
162300,2.736762
162400,2.736386
162500,2.736086
162600,2.735737
162700,2.735497
162800,2.735066
162900,2.734632
163000,2.734251
163100,2.734132
163200,2.733818
163300,2.733545
163400,2.733502
163500,2.732963
163600,2.732634
163700,2.732704
163800,2.732641
163900,2.732466
164000,2.732151
164100,2.731965
164200,2.731858
164300,2.731612
164400,2.731240
164500,2.731763
164600,2.731659
164700,2.731628
164800,2.731358
164900,2.731120
165000,2.730740
165100,2.730459
165200,2.730654
165300,2.730254
165400,2.730186
165500,2.730193
165600,2.730006
165700,2.730100
165800,2.729670
165900,2.729448
166000,2.728906
166100,2.728347
166200,2.728184
166300,2.728332
166400,2.727749
166500,2.727480
166600,2.727817
166700,2.728059
166800,2.727877
166900,2.727436
167000,2.727057
167100,2.726798
167200,2.726651
167300,2.726173
167400,2.725656
167500,2.725396
167600,2.725098
167700,2.724781
167800,2.724476
167900,2.724576
168000,2.724359
168100,2.724146
168200,2.723825
168300,2.723317
168400,2.722973
168500,2.722766
168600,2.722396
168700,2.722285
168800,2.722225
168900,2.721730
169000,2.721277
169100,2.720820
169200,2.720533
169300,2.720100
169400,2.719767
169500,2.719404
169600,2.718959
169700,2.718636
169800,2.718484
169900,2.717892
170000,2.717467
170100,2.717359
170200,2.717062
170300,2.716710
170400,2.716237
170500,2.715745
170600,2.715415
170700,2.714844
170800,2.714564
170900,2.713988
171000,2.713659
171100,2.713395
171200,2.713043
171300,2.712513
171400,2.712280
171500,2.712048
171600,2.711816
171700,2.711422
171800,2.711222
171900,2.711032
172000,2.710745
172100,2.710552
