n_simbolos_processados,comprimento_medio_progressivo
99700,2.544237
99800,2.543738
99900,2.543604
100000,2.543275
100100,2.543192
100200,2.542850
100300,2.542279
100400,2.541852
100500,2.541696
100600,2.542058
100700,2.541597
100800,2.541279
100900,2.541471
101000,2.540666
101100,2.540450
101200,2.540688
101300,2.540303
101400,2.539834
101500,2.539641
101600,2.539232
101700,2.538763
101800,2.538245
101900,2.537602
102000,2.537130
102100,2.536503
102200,2.536147
102300,2.535991
102400,2.535592
102500,2.534763
102600,2.534339
102700,2.534076
102800,2.533812
102900,2.533545
103000,2.533717
103100,2.533429
103200,2.533425
103300,2.533228
103400,2.533156
103500,2.533846
103600,2.533563
103700,2.533208
103800,2.532840
103900,2.532607
104000,2.532273
104100,2.531884
104200,2.531663
104300,2.531723
104400,2.531469
104500,2.531237
104600,2.530982
104700,2.530762
104800,2.530178
104900,2.529933
105000,2.529731
105100,2.529525
105200,2.529843
105300,2.529665
105400,2.529492
105500,2.528991
105600,2.528674
105700,2.528726
105800,2.528807
105900,2.529180
106000,2.529305
106100,2.529400
106200,2.529408
106300,2.529115
106400,2.528848
106500,2.528869
106600,2.528517
106700,2.528357
106800,2.528125
106900,2.527478
107000,2.527355
107100,2.526858
107200,2.526680
107300,2.526473
107400,2.526044
107500,2.525114
107600,2.524582
107700,2.524494
107800,2.524232
107900,2.524493
108000,2.524840
108100,2.524497
108200,2.524304
108300,2.523907
108400,2.523636
108500,2.523152
108600,2.523075
108700,2.522862
108800,2.522379
108900,2.522423
109000,2.522350
109100,2.521847
109200,2.521748
109300,2.521571
109400,2.521344
109500,2.521212
109600,2.521012
109700,2.520678
109800,2.520385
109900,2.520106
110000,2.520140
110100,2.520021
110200,2.519889
110300,2.519836
110400,2.519473
110500,2.519145
110600,2.518684
110700,2.518498
110800,2.518052
110900,2.517539
111000,2.517157
111100,2.516490
111200,2.516380
111300,2.515779
111400,2.515147
111500,2.514709
111600,2.514313
111700,2.513865
111800,2.513305
111900,2.513218
112000,2.513272
112100,2.513592
112200,2.513462
112300,2.513153
112400,2.513136
112500,2.512637
112600,2.512124
112700,2.511607
112800,2.511271
112900,2.511040
113000,2.510903
113100,2.510737
113200,2.510671
113300,2.510617
113400,2.509982
113500,2.509671
113600,2.509687
113700,2.509639
113800,2.509596
113900,2.509517
114000,2.509279
114100,2.508957
114200,2.508317
114300,2.507965
114400,2.507690
114500,2.507350
114600,2.506819
114700,2.506429
114800,2.506294
114900,2.505890
115000,2.505580
115100,2.505309
115200,2.504678
115300,2.504458
115400,2.503867
115500,2.503460
115600,2.502911
115700,2.502583
115800,2.502315
115900,2.501889
116000,2.501607
116100,2.501277
116200,2.501005
116300,2.500581
116400,2.499965
116500,2.499759
116600,2.499415
116700,2.498789
116800,2.498218
116900,2.497580
117000,2.497472
117100,2.496777
117200,2.496250
117300,2.496033
117400,2.495458
117500,2.495967
117600,2.496303
117700,2.496149
117800,2.496110
117900,2.496230
118000,2.496241
118100,2.495821
118200,2.495706
118300,2.495066
118400,2.494830
118500,2.494468
118600,2.494284
118700,2.493911
118800,2.493927
118900,2.493437
119000,2.492744
119100,2.492374
119200,2.491824
119300,2.491499
119400,2.491501
119500,2.491255
119600,2.491118
119700,2.490842
119800,2.490350
119900,2.490355
120000,2.490205
120100,2.490058
120200,2.489945
120300,2.489518
120400,2.489562
120500,2.488943
120600,2.488641
120700,2.488214
120800,2.488193
120900,2.488071
121000,2.488013
121100,2.487515
121200,2.487194
121300,2.487118
121400,2.486706
121500,2.486929
121600,2.486401
121700,2.485968
121800,2.485317
121900,2.485517
122000,2.485272
122100,2.485009
122200,2.484338
122300,2.483755
122400,2.483327
122500,2.482917
122600,2.482506
122700,2.482170
122800,2.482090
122900,2.481757
123000,2.482088
123100,2.481769
123200,2.482261
123300,2.481876
123400,2.481745
123500,2.481847
123600,2.481643
123700,2.481376
123800,2.481253
123900,2.480761
124000,2.480278
124100,2.480074
124200,2.479839
124300,2.479735
124400,2.479519
124500,2.479525
124600,2.479489
124700,2.478791
124800,2.478633
124900,2.478346
125000,2.477960
125100,2.477955
125200,2.477873
125300,2.477991
125400,2.477733
125500,2.477164
125600,2.476816
125700,2.476672
125800,2.476333
125900,2.476413
126000,2.476101
126100,2.475830
126200,2.475820
126300,2.475794
126400,2.475279
126500,2.474980
126600,2.475138
126700,2.475169
126800,2.475134
126900,2.474955
127000,2.474790
127100,2.474390
127200,2.474003
127300,2.473733
127400,2.474073
127500,2.474238
127600,2.474084
127700,2.473687
127800,2.473415
127900,2.473155
128000,2.473113
128100,2.472817
128200,2.472657
128300,2.472556
128400,2.472568
128500,2.472242
128600,2.472083
128700,2.471987
128800,2.471676
128900,2.471870
129000,2.471976
129100,2.471713
129200,2.471607
129300,2.471387
129400,2.471367
129500,2.471151
129600,2.470625
129700,2.470508
129800,2.470292
129900,2.470050
130000,2.469602
130100,2.469391
130200,2.469149
130300,2.469043
130400,2.468678
130500,2.468544
130600,2.468288
130700,2.468147
130800,2.467825
130900,2.467837
131000,2.467648
131100,2.467314
131200,2.466836
131300,2.466551
131400,2.466221
131500,2.466099
131600,2.465653
131700,2.465436
131800,2.465565
131900,2.465637
132000,2.465587
132100,2.465259
132200,2.464966
132300,2.464795
132400,2.464591
132500,2.464203
132600,2.463646
132700,2.463402
132800,2.463276
132900,2.463092
133000,2.462783
133100,2.462387
133200,2.462067
133300,2.461508
133400,2.461546
133500,2.461352
133600,2.461164
133700,2.460685
133800,2.460395
133900,2.460248
134000,2.460249
134100,2.460292
134200,2.460057
134300,2.460046
134400,2.459753
134500,2.459660
134600,2.459223
134700,2.459119
134800,2.458852
134900,2.458574
135000,2.458374
135100,2.457851
135200,2.457469
135300,2.457239
135400,2.456912
135500,2.456905
135600,2.456772
135700,2.456265
135800,2.456035
135900,2.455779
136000,2.455625
136100,2.455371
136200,2.454989
136300,2.454504
136400,2.454404
136500,2.454598
136600,2.454671
136700,2.454618
136800,2.454516
136900,2.454091
137000,2.454014
137100,2.454092
137200,2.453830
137300,2.453816
137400,2.453804
137500,2.453365
137600,2.453072
137700,2.452829
137800,2.452481
137900,2.452346
138000,2.452206
138100,2.452110
138200,2.451705
138300,2.451536
138400,2.451689
138500,2.451592
138600,2.451587
138700,2.451298
138800,2.451234
138900,2.451029
139000,2.451410
139100,2.450915
139200,2.450537
139300,2.450323
139400,2.449963
139500,2.450112
139600,2.449714
139700,2.449413
139800,2.449168
139900,2.448796
140000,2.448625
140100,2.448345
140200,2.448147
140300,2.447753
140400,2.447393
140500,2.447268
140600,2.447205
140700,2.447006
140800,2.446816
140900,2.446512
141000,2.446151
141100,2.445906
141200,2.445563
141300,2.444978
141400,2.444608
141500,2.444214
141600,2.444031
141700,2.443899
141800,2.443547
141900,2.443203
142000,2.442726
142100,2.442129
142200,2.441801
142300,2.441589
142400,2.441422
142500,2.441526
142600,2.441423
142700,2.441202
142800,2.441395
142900,2.441403
143000,2.441326
143100,2.441138
143200,2.440787
143300,2.440418
143400,2.440406
143500,2.440104
143600,2.440314
143700,2.439863
143800,2.439844
143900,2.439665
144000,2.439381
144100,2.439705
144200,2.439475
144300,2.439481
144400,2.439485
144500,2.439246
144600,2.439068
144700,2.438950
144800,2.438745
144900,2.438075
145000,2.437761
145100,2.437612
145200,2.437063
145300,2.436953
145400,2.436711
145500,2.436861
145600,2.436543
145700,2.436184
145800,2.436064
145900,2.435764
146000,2.435676
146100,2.435445
146200,2.435294
146300,2.435103
146400,2.434682
146500,2.434628
146600,2.434236
146700,2.434034
146800,2.433792
146900,2.433535
147000,2.433167
147100,2.432861
147200,2.432333
147300,2.431764
147400,2.431285
147500,2.430910
147600,2.430651
147700,2.430366
147800,2.429902
147900,2.429712
148000,2.429386
148100,2.429236
148200,2.429232
148300,2.429169
148400,2.429063
148500,2.428908
148600,2.428739
148700,2.428748
148800,2.428604
148900,2.428210
149000,2.427825
149100,2.427559
149200,2.427281
149300,2.426926
149400,2.426479
149500,2.426261
149600,2.426043
149700,2.426114
149800,2.425823
149900,2.425739
150000,2.425308
150100,2.424926
150200,2.424487
150300,2.424123
150400,2.423737
150500,2.423587
150600,2.423291
150700,2.423003
150800,2.422655
150900,2.422140
151000,2.421815
151100,2.421263
151200,2.420930
151300,2.420805
151400,2.420449
151500,2.420116
151600,2.419928
151700,2.419907
151800,2.419886
151900,2.419599
152000,2.419192
152100,2.418914
152200,2.418580
152300,2.418556
152400,2.418421
152500,2.418248
152600,2.418042
152700,2.417807
152800,2.417376
152900,2.416967
153000,2.416571
153100,2.416243
153200,2.416054
153300,2.416017
153400,2.415923
153500,2.415571
153600,2.415240
153700,2.414974
153800,2.414719
153900,2.414592
154000,2.414386
154100,2.414743
154200,2.414468
154300,2.414387
154400,2.414169
154500,2.413978
154600,2.413870
154700,2.413648
154800,2.413553
154900,2.413264
155000,2.413156
155100,2.413141
155200,2.412817
155300,2.412682
155400,2.412500
155500,2.412300
155600,2.412101
155700,2.411970
155800,2.411959
155900,2.411678
156000,2.411516
156100,2.411546
156200,2.411568
156300,2.411078
156400,2.410879
156500,2.410575
156600,2.410366
156700,2.410061
156800,2.409796
156900,2.409871
157000,2.409729
157100,2.409532
157200,2.409247
157300,2.408985
157400,2.408698
157500,2.408203
157600,2.408180
157700,2.407851
157800,2.407679
157900,2.407207
158000,2.406968
158100,2.406831
158200,2.406583
158300,2.406372
158400,2.406568
158500,2.406387
158600,2.406159
158700,2.406032
158800,2.405846
158900,2.405769
159000,2.405592
159100,2.405575
159200,2.405472
159300,2.405079
159400,2.404827
159500,2.404587
159600,2.404182
159700,2.403865
159800,2.403842
159900,2.403633
160000,2.403361
160100,2.402976
160200,2.402557
160300,2.402361
160400,2.402044
160500,2.401813
160600,2.401395
160700,2.401506
160800,2.401574
160900,2.401281
161000,2.401173
161100,2.401471
161200,2.401456
161300,2.401302
161400,2.401068
161500,2.400901
161600,2.400699
161700,2.400323
161800,2.400163
161900,2.399973
162000,2.399675
162100,2.399590
162200,2.399554
162300,2.399363
162400,2.399196
162500,2.399094
162600,2.398900
162700,2.398863
162800,2.398544
162900,2.398297
163000,2.398052
163100,2.398097
163200,2.397957
163300,2.397707
